row_index,title,peeled_title,normalized_title,noise_removed,token_count,role_hits,domain_hits,noise_hits,occupation_signal,penalty_signal,net_signal,decision,matched_rules
"22","Antrenor / instructor pentru gimnastica ritmica","Antrenor instructor pentru gimnastica ritmica","antrenor instructor pentru gimnastica ritmica","yes","5","instructor|antrenor","","","1.000","0.000","1.000","help","role_head:instructor|role_head:antrenor|generic_phrase:gimnastica ritmica"
"23","Tehnician Service","Tehnician Service","tehnician service","no","2","tehnician|tehnician service","","service","1.000","0.900","0.100","neutral","role_head:tehnician|generic_noise:service|role_phrase:tehnician service"
"24","Tehnician pe teren zona Harghita","Tehnician pe teren zona Harghita","tehnician pe teren zona harghita","no","5","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"25","Cautam colegi pentru Pizza Hut!","Cautam colegi pentru Pizza Hut!","cautam colegi pentru pizza hut","no","5","","","","0.000","0.000","0.000","neutral","generic_phrase:cautam colegi"
"26","Sales Representative -Sisteme Depozitare & Solutii Logistice","Sales Representative -Sisteme Depozitare & Solutii Logistice","sales representative sisteme depozitare solutii logistice","no","6","representative","","","0.820","0.000","0.820","help","role_head:representative|role_phrase:sales representative"
"27","Tehnician audit de produs","Tehnician audit de produs","tehnician audit de produs","no","4","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"28","Sef tura patiserie Delissima Bakery","Sef tura patiserie Delissima Bakery","sef tura patiserie delissima bakery","no","5","sef|sef tura","","","1.000","0.000","1.000","help","role_head:sef|role_phrase:sef tura"
"29","Inginer Tehnolog-Industria Cărnii (Experienta min. 5 ani)","Inginer Tehnolog-Industria Cărnii","inginer tehnolog industria carnii","yes","8","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"30","FARMACIST","FARMACIST","farmacist","no","1","","","","0.000","0.000","0.000","neutral",""
"31","Manager Program","Manager Program","manager program","no","2","manager","","","0.900","0.000","0.900","help","role_head:manager"
"32","Manipulant Marfa - NON BAT - Timisoara","Manipulant Marfa","manipulant marfa","yes","5","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"33","Manipulant marfuri","Manipulant marfuri","manipulant marfuri","no","2","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"34","Maintenance Manager - top global company","Maintenance Manager","maintenance manager","yes","5","manager","","","0.900","0.000","0.900","help","role_head:manager"
"35","Interfata terti si alte departamente , Alexandria","Interfata terti si alte departamente , Alexandria","interfata terti si alte departamente alexandria","no","6","","","","0.000","0.000","0.000","neutral",""
"36","Asistent de Farmacie in Lovrin","Asistent de Farmacie in Lovrin","asistent de farmacie in lovrin","no","5","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"37","Sales Advisor Nespresso Boutique Afi Cotroceni 8h","Sales Advisor Nespresso Boutique Afi Cotroceni 8h","sales advisor nespresso boutique afi cotroceni 8h","no","7","","","","0.000","0.000","0.000","neutral",""
"38","Consultant IT SAP IS-U(244347)","Consultant IT SAP IS-U","consultant it sap is u","yes","6","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"39","Asistent Manager","Asistent Manager","asistent manager","no","2","manager|asistent|asistent manager","","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|role_phrase:asistent manager"
"40","Lucrator comercial / vanzator  mall - produse din inghetata","Lucrator comercial vanzator mall produse din inghetata","lucrator comercial vanzator mall produse din inghetata","yes","7","vanzator|lucrator|lucrator comercial","","","1.000","0.000","1.000","help","role_head:vanzator|role_head:lucrator|role_phrase:lucrator comercial"
"41","Consilier de vânzări (m/f)","Consilier de vânzări","consilier de vanzari","yes","5","","vanzari","","0.585","0.000","0.585","neutral","domain_modifier:vanzari"
"42","TEHNICIAN-ALPINIST TELECOMUNICATII","TEHNICIAN-ALPINIST TELECOMUNICATII","tehnician alpinist telecomunicatii","no","3","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"43","Operator calculator - Magazin Online","Operator calculator Magazin Online","operator calculator magazin online","yes","4","operator","","","0.900","0.000","0.900","help","role_head:operator"
"44","Manager Resurse Umane","Manager Resurse Umane","manager resurse umane","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"45","Electrician întreţinere şi reparaţii - Acăţari,jud.Mures","Electrician întreţinere şi reparaţii","electrician intretinere si reparatii","yes","7","electrician|electrician intretinere","","","1.000","0.000","1.000","help","role_head:electrician|role_phrase:electrician intretinere"
"46","Electrician -Tehnician retele echipamente electrice,date-voce","Electrician -Tehnician retele echipamente electrice,date-voce","electrician tehnician retele echipamente electrice date voce","no","7","tehnician|electrician","","","1.000","0.000","1.000","help","role_head:tehnician|role_head:electrician"
"47","Consultant Vanzari - Mobexpert Baia Mare","Consultant Vanzari Mobexpert Baia Mare","consultant vanzari mobexpert baia mare","yes","5","consultant","vanzari","","1.000","0.000","1.000","help","role_head:consultant|domain_modifier:vanzari"
"48","Reprezentant Tehnic si Receptioner Tura de Noapte","Reprezentant Tehnic si Receptioner Tura de Noapte","reprezentant tehnic si receptioner tura de noapte","no","7","reprezentant","","","0.840","0.000","0.840","help","role_head:reprezentant"
"49","Specialist management deplasări, secretariat, registratură","Specialist management deplasări, secretariat, registratură","specialist management deplasari secretariat registratura","no","5","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"50","Asistent Medical Generalist/ Kinetoterapeut/ Cosmetician","Asistent Medical Generalist/ Kinetoterapeut/ Cosmetician","asistent medical generalist kinetoterapeut cosmetician","no","5","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"51","Lacatus mecanic asamblare","Lacatus mecanic asamblare","lacatus mecanic asamblare","no","3","mecanic","","","0.900","0.000","0.900","help","role_head:mecanic"
"52","Jurist","Jurist","jurist","no","1","jurist","","","0.900","0.000","0.900","help","role_head:jurist"
"53","QUALITY PLANNING ENGINER","QUALITY PLANNING ENGINER","quality planning enginer","no","3","enginer","quality|planning","","1.000","0.000","1.000","help","role_head:enginer|domain_modifier:quality|domain_modifier:planning"
"54","Inginer proiectant instalații","Inginer proiectant instalații","inginer proiectant instalatii","no","3","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"55","Customer Agent with English and Irish understanding","Customer Agent with English and Irish understanding","customer agent with english and irish understanding","no","7","agent","","","0.820","0.000","0.820","help","role_head:agent"
"56","Asistent Medical Generalist Sectie Chirurgie generală","Asistent Medical Generalist Sectie Chirurgie generală","asistent medical generalist sectie chirurgie generala","no","6","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"57","Asistent Manager Flota & Administrativ","Asistent Manager Flota & Administrativ","asistent manager flota administrativ","no","4","manager|asistent|asistent manager","","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|role_phrase:asistent manager"
"58","Senior Specialist Aprovizionare (Piese de Schimb) OTOPENI","Senior Specialist Aprovizionare OTOPENI","senior specialist aprovizionare otopeni","yes","7","specialist|specialist aprovizionare","aprovizionare","senior","1.000","0.720","0.280","neutral","role_head:specialist|generic_noise:senior|domain_modifier:aprovizionare|role_phrase:specialist aprovizionare"
"59","Brand Consultant TOBACCO PLOIESTI","Brand Consultant TOBACCO PLOIESTI","brand consultant tobacco ploiesti","no","4","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"60","Sales Network Specialist -  Divizia Suport Vanzari","Sales Network Specialist Divizia Suport Vanzari","sales network specialist divizia suport vanzari","yes","6","specialist","vanzari","","1.000","0.000","1.000","help","role_head:specialist|domain_modifier:vanzari"
"61","Contabil","Contabil","contabil","no","1","contabil","","","0.880","0.000","0.880","help","role_head:contabil"
"62","Antrenor / instructor pentru gimnastica ritmica","Antrenor instructor pentru gimnastica ritmica","antrenor instructor pentru gimnastica ritmica","yes","5","instructor|antrenor","","","1.000","0.000","1.000","help","role_head:instructor|role_head:antrenor|generic_phrase:gimnastica ritmica"
"63","Tehnician Service","Tehnician Service","tehnician service","no","2","tehnician|tehnician service","","service","1.000","0.900","0.100","neutral","role_head:tehnician|generic_noise:service|role_phrase:tehnician service"
"64","Tehnician pe teren zona Harghita","Tehnician pe teren zona Harghita","tehnician pe teren zona harghita","no","5","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"65","Cautam colegi pentru Pizza Hut!","Cautam colegi pentru Pizza Hut!","cautam colegi pentru pizza hut","no","5","","","","0.000","0.000","0.000","neutral","generic_phrase:cautam colegi"
"66","Sales Representative -Sisteme Depozitare & Solutii Logistice","Sales Representative -Sisteme Depozitare & Solutii Logistice","sales representative sisteme depozitare solutii logistice","no","6","representative","","","0.820","0.000","0.820","help","role_head:representative|role_phrase:sales representative"
"67","Sef tura patiserie Delissima Bakery","Sef tura patiserie Delissima Bakery","sef tura patiserie delissima bakery","no","5","sef|sef tura","","","1.000","0.000","1.000","help","role_head:sef|role_phrase:sef tura"
"68","Tehnician audit de produs","Tehnician audit de produs","tehnician audit de produs","no","4","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"69","Inginer Tehnolog-Industria Cărnii (Experienta min. 5 ani)","Inginer Tehnolog-Industria Cărnii","inginer tehnolog industria carnii","yes","8","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"70","FARMACIST","FARMACIST","farmacist","no","1","","","","0.000","0.000","0.000","neutral",""
"71","Manager Program","Manager Program","manager program","no","2","manager","","","0.900","0.000","0.900","help","role_head:manager"
"72","Manipulant Marfa - NON BAT - Timisoara","Manipulant Marfa","manipulant marfa","yes","5","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"73","Manipulant marfuri","Manipulant marfuri","manipulant marfuri","no","2","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"74","Maintenance Manager - top global company","Maintenance Manager","maintenance manager","yes","5","manager","","","0.900","0.000","0.900","help","role_head:manager"
"75","Interfata terti si alte departamente , Alexandria","Interfata terti si alte departamente , Alexandria","interfata terti si alte departamente alexandria","no","6","","","","0.000","0.000","0.000","neutral",""
"76","Asistent de Farmacie in Lovrin","Asistent de Farmacie in Lovrin","asistent de farmacie in lovrin","no","5","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"77","Sales Advisor Nespresso Boutique Afi Cotroceni 8h","Sales Advisor Nespresso Boutique Afi Cotroceni 8h","sales advisor nespresso boutique afi cotroceni 8h","no","7","","","","0.000","0.000","0.000","neutral",""
"78","Consultant IT SAP IS-U(244347)","Consultant IT SAP IS-U","consultant it sap is u","yes","6","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"79","Asistent Manager","Asistent Manager","asistent manager","no","2","manager|asistent|asistent manager","","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|role_phrase:asistent manager"
"80","Lucrator comercial / vanzator  mall - produse din inghetata","Lucrator comercial vanzator mall produse din inghetata","lucrator comercial vanzator mall produse din inghetata","yes","7","vanzator|lucrator|lucrator comercial","","","1.000","0.000","1.000","help","role_head:vanzator|role_head:lucrator|role_phrase:lucrator comercial"
"81","Project Manager Constructii (Regiune Vest - Transilvania)","Project Manager Constructii","project manager constructii","yes","6","manager","constructii","","1.000","0.000","1.000","help","role_head:manager|domain_modifier:constructii"
"82","ASISTENT VANZARI","ASISTENT VANZARI","asistent vanzari","no","2","asistent","vanzari","","1.000","0.000","1.000","help","role_head:asistent|domain_modifier:vanzari"
"83","Inginer Ofertare/Decontare - Constructii Civile","Inginer Ofertare/Decontare Constructii Civile","inginer ofertare decontare constructii civile","yes","5","inginer|inginer ofertare","ofertare|constructii","","1.000","0.000","1.000","help","role_head:inginer|domain_modifier:ofertare|domain_modifier:constructii|role_phrase:inginer ofertare"
"84","AGENT INCHIRIERI AUTO","AGENT INCHIRIERI AUTO","agent inchirieri auto","no","3","agent","","","0.820","0.000","0.820","help","role_head:agent"
"85","Lucrator depozit - picker si ambalator comenzi online","Lucrator depozit picker si ambalator comenzi online","lucrator depozit picker si ambalator comenzi online","yes","7","lucrator|lucrator depozit","depozit","","1.000","0.000","1.000","help","role_head:lucrator|domain_modifier:depozit|role_phrase:lucrator depozit"
"86","Specialist obtinere avize/autorizatii - Piatra Olt","Specialist obtinere avize/autorizatii Piatra Olt","specialist obtinere avize autorizatii piatra olt","yes","6","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"87","Consultant Financiar","Consultant Financiar","consultant financiar","no","2","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"88","Stivuitorist SIbiu","Stivuitorist SIbiu","stivuitorist sibiu","no","2","stivuitorist","","","0.880","0.000","0.880","help","role_head:stivuitorist"
"89","Regional Sales Manager","Regional Sales Manager","regional sales manager","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"90","Lucrator comercial Full Time - Hervis Alba Iulia","Hervis Alba Iulia","hervis alba iulia","yes","7","","","","0.000","0.000","0.000","neutral",""
"91","Regional Sales Manager","Regional Sales Manager","regional sales manager","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"92","Junior Back Office with German","Junior Back Office with German","junior back office with german","no","5","","","office|junior","0.000","1.000","-1.000","hurt","generic_noise:office|generic_noise:junior"
"93","Operator musa Brasov","Operator musa Brasov","operator musa brasov","no","3","operator","","","0.900","0.000","0.900","help","role_head:operator"
"94","Sales Assistant - Tom Tailor - Afi Cotroceni","Sales Assistant Tom Tailor Afi Cotroceni","sales assistant tom tailor afi cotroceni","yes","6","","","","0.000","0.000","0.000","neutral",""
"95","Junior Back Office with Italian","Junior Back Office with Italian","junior back office with italian","no","5","","","office|junior","0.000","1.000","-1.000","hurt","generic_noise:office|generic_noise:junior"
"96","Coordonator Logistică - Balotești","Coordonator Logistică Balotești","coordonator logistica balotesti","yes","3","coordonator","logistica","","1.000","0.000","1.000","help","role_head:coordonator|domain_modifier:logistica"
"97","OPERATOR MAȘINI-UNELTE CU COMANDĂ NUMERICĂ (CNC) TÂRGOVIȘTE","OPERATOR MAȘINI-UNELTE CU COMANDĂ NUMERICĂ TÂRGOVIȘTE","operator masini unelte cu comanda numerica targoviste","yes","8","operator","","","0.900","0.000","0.900","help","role_head:operator"
"98","🚀 Key Account Manager B2B – Retail România & EU","Retail România & EU","retail romania eu","yes","7","","","","0.000","0.000","0.000","neutral",""
"99","INGINER ELECTRONIST/ ELECTRONIST in  Cluj-Napoca","INGINER ELECTRONIST/ ELECTRONIST in Cluj-Napoca","inginer electronist electronist in cluj napoca","yes","6","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"100","Electrician reparatii utilaje industriale Brasov","Electrician reparatii utilaje industriale Brasov","electrician reparatii utilaje industriale brasov","no","5","electrician","utilaje","","1.000","0.000","1.000","help","role_head:electrician|domain_modifier:utilaje"
"101","Mecanic utilaje industriale Brasov","Mecanic utilaje industriale Brasov","mecanic utilaje industriale brasov","no","4","mecanic","utilaje","","1.000","0.000","1.000","help","role_head:mecanic|domain_modifier:utilaje"
"102","Manager Magazin in sistem CODO","Manager Magazin in sistem CODO","manager magazin in sistem codo","no","5","manager","","","0.900","0.000","0.900","help","role_head:manager"
"103","QA/QC Inspector","QA/QC Inspector","qa qc inspector","no","3","inspector","","","0.760","0.000","0.760","help","role_head:inspector"
"104","Manipulant marfa","Manipulant marfa","manipulant marfa","no","2","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"105","Stivuitorist(manipulant marfa) Arad","Stivuitorist Arad","stivuitorist arad","yes","4","stivuitorist","","","0.880","0.000","0.880","help","role_head:stivuitorist"
"106","Operator productie Arad","Operator productie Arad","operator productie arad","no","3","operator","","","0.900","0.000","0.900","help","role_head:operator"
"107","Operator facturare","Operator facturare","operator facturare","no","2","operator","","","0.900","0.000","0.900","help","role_head:operator"
"108","Operator productie(platforma Dunca) Timisoara","Operator productie Timisoara","operator productie timisoara","yes","5","operator","","","0.900","0.000","0.900","help","role_head:operator"
"109","Casier - Timisoara","Casier","casier","yes","2","","","","0.000","0.000","0.000","neutral",""
"110","Casier - Bucuresti","Casier","casier","yes","2","","","","0.000","0.000","0.000","neutral",""
"111","Manipulant operator linie de zincare","Manipulant operator linie de zincare","manipulant operator linie de zincare","no","5","operator|manipulant","","","1.000","0.000","1.000","help","role_head:operator|role_head:manipulant"
"112","Consilier de vânzări (m/f)","Consilier de vânzări","consilier de vanzari","yes","5","","vanzari","","0.585","0.000","0.585","neutral","domain_modifier:vanzari"
"113","Frigotehnist/Tehnician service HORECA","Frigotehnist/Tehnician service HORECA","frigotehnist tehnician service horeca","no","4","tehnician|tehnician service","","service","1.000","0.900","0.100","neutral","role_head:tehnician|generic_noise:service|role_phrase:tehnician service"
"114","Lucrător logistică (m/f)","Lucrător logistică","lucrator logistica","yes","4","lucrator","logistica","","1.000","0.000","1.000","help","role_head:lucrator|domain_modifier:logistica"
"115","Sales Development Representative","Sales Development Representative","sales development representative","no","3","representative","","","0.820","0.000","0.820","help","role_head:representative"
"116","Lacatus mecanic reparatii utilaje de constructii","Lacatus mecanic reparatii utilaje de constructii","lacatus mecanic reparatii utilaje de constructii","no","6","mecanic","constructii|utilaje","","1.000","0.000","1.000","help","role_head:mecanic|domain_modifier:constructii|domain_modifier:utilaje"
"117","Branch Manager Deva & Hunedoara","Branch Manager Deva & Hunedoara","branch manager deva hunedoara","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"118","Senior Accountant -Outsourcing Accounting division","Senior Accountant -Outsourcing Accounting division","senior accountant outsourcing accounting division","no","5","","","senior","0.000","0.720","-0.720","neutral","generic_noise:senior"
"119","Branch Manager - Targu-Mures","Branch Manager","branch manager","yes","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"120","Reprezentant vanzari - Bucuresti/Ilfov","Reprezentant vanzari","reprezentant vanzari","yes","4","reprezentant|reprezentant vanzari","vanzari","","1.000","0.000","1.000","help","role_head:reprezentant|domain_modifier:vanzari|role_phrase:reprezentant vanzari"
"121","Agent / Broker Imobiliar","Agent Broker Imobiliar","agent broker imobiliar","yes","3","agent","","","0.820","0.000","0.820","help","role_head:agent"
"122","Quantity Surveyor Site Engineer - Bacau","Quantity Surveyor Site Engineer","quantity surveyor site engineer","yes","5","","","","0.000","0.000","0.000","neutral",""
"123","Project Assistant - Bacau","Project Assistant","project assistant","yes","3","","","","0.000","0.000","0.000","neutral",""
"124","Manager vanzari","Manager vanzari","manager vanzari","no","2","manager","vanzari","","1.000","0.000","1.000","help","role_head:manager|domain_modifier:vanzari"
"125","Site Engineer","Site Engineer","site engineer","no","2","","","","0.000","0.000","0.000","neutral",""
"126","Emirates Cabin Crew","Emirates Cabin Crew","emirates cabin crew","no","3","","","","0.000","0.000","0.000","neutral",""
"127","Operational / Sea Freight Specialist","Operational Sea Freight Specialist","operational sea freight specialist","yes","4","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"128","Inginer Ofertare Drumuri, Poduri/Căi Ferate","Inginer Ofertare Drumuri, Poduri/Căi Ferate","inginer ofertare drumuri poduri cai ferate","no","6","inginer|inginer ofertare","ofertare","","1.000","0.000","1.000","help","role_head:inginer|domain_modifier:ofertare|role_phrase:inginer ofertare"
"129","Sef Șantier Rețele Edilitare","Sef Șantier Rețele Edilitare","sef santier retele edilitare","no","4","sef","","","0.760","0.000","0.760","help","role_head:sef"
"130","Merchants Sales Account Manager","Merchants Sales Account Manager","merchants sales account manager","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"131","KFC Bran cauta colegi! Hai intr-o echipa #pebune!","KFC Bran cauta colegi! Hai intr-o echipa #pebune!","kfc bran cauta colegi hai intr o echipa pebune","no","9","","","","0.000","0.000","0.000","neutral",""
"132","Senior Procurement Specialist","Senior Procurement Specialist","senior procurement specialist","no","3","specialist","","senior","0.920","0.720","0.200","neutral","role_head:specialist|generic_noise:senior"
"133","Senior Procurement Specialist - Indirect","Senior Procurement Specialist Indirect","senior procurement specialist indirect","yes","4","specialist","","senior","0.920","0.720","0.200","neutral","role_head:specialist|generic_noise:senior"
"134","Automation Sales Engineer","Automation Sales Engineer","automation sales engineer","no","3","","","","0.000","0.000","0.000","neutral",""
"135","Inginer Ofertare Tehnic - Constructii","Inginer Ofertare Tehnic Constructii","inginer ofertare tehnic constructii","yes","4","inginer|inginer ofertare","ofertare|constructii","","1.000","0.000","1.000","help","role_head:inginer|domain_modifier:ofertare|domain_modifier:constructii|role_phrase:inginer ofertare"
"136","Specialist Ofertare Echipamente HVAC","Specialist Ofertare Echipamente HVAC","specialist ofertare echipamente hvac","no","4","specialist","ofertare","","1.000","0.000","1.000","help","role_head:specialist|domain_modifier:ofertare"
"137","Team Manager Afi Cotroceni","Team Manager Afi Cotroceni","team manager afi cotroceni","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"138","Product Strategist (Engine & Sealing) [hybrid work schedule]","Product Strategist","product strategist","yes","7","","","","0.000","0.000","0.000","neutral",""
"139","Buyer","Buyer","buyer","no","1","","","","0.000","0.000","0.000","neutral",""
"140","Fizioterapeut / Kinetoterapeut – Germania","Fizioterapeut Kinetoterapeut Germania","fizioterapeut kinetoterapeut germania","yes","3","","","","0.000","0.000","0.000","neutral",""
"141","Consilier juridic","Consilier juridic","consilier juridic","no","2","","","","0.000","0.000","0.000","neutral",""
"142","Electrical Site Manager","Electrical Site Manager","electrical site manager","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"143","Cautam manager de tura! Venit net #pebune de la 4900 lei!","Cautam manager de tura! Venit net #pebune de la 4900 lei!","cautam manager de tura venit net pebune de la 4900 lei","no","11","manager","","","0.900","0.000","0.900","help","role_head:manager"
"144","Operator dezinfectie – Mediu Spitalicesc","Operator dezinfectie Mediu Spitalicesc","operator dezinfectie mediu spitalicesc","yes","4","operator","","","0.900","0.000","0.900","help","role_head:operator"
"145","Agent imobiliar","Agent imobiliar","agent imobiliar","no","2","agent","","","0.820","0.000","0.820","help","role_head:agent"
"146","DISPECER SEF TURA MT/JT CRAIOVA","DISPECER SEF TURA MT/JT CRAIOVA","dispecer sef tura mt jt craiova","no","6","sef|sef tura","","","1.000","0.000","1.000","help","role_head:sef|role_phrase:sef tura"
"147","Asistent medical generalist în Germania","Asistent medical generalist în Germania","asistent medical generalist in germania","no","5","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"148","Game Presenter / Crupier–3000 lei+400 lei tichete masa+ 1000 lei BONUS, Pipera-București","Game Presenter","game presenter","yes","14","","","","0.000","0.000","0.000","neutral",""
"149","Operator Extrudare Profile PVC","Operator Extrudare Profile PVC","operator extrudare profile pvc","no","4","operator","","","0.900","0.000","0.900","help","role_head:operator"
"150","(Senior) Consultant SAP Cloud and Process Integration","Consultant SAP Cloud and Process Integration","consultant sap cloud and process integration","yes","7","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"151","Senior Consultant SAP SD (m/w/d) S/4HANA Sales","Senior Consultant SAP SD S/4HANA Sales","senior consultant sap sd s 4hana sales","yes","10","consultant","","senior","0.880","0.720","0.160","neutral","role_head:consultant|generic_noise:senior"
"152","Reprezentant Vânzări Utilaje Agricole - Moldova","Reprezentant Vânzări Utilaje Agricole Moldova","reprezentant vanzari utilaje agricole moldova","yes","5","reprezentant|reprezentant vanzari","vanzari|utilaje","","1.000","0.000","1.000","help","role_head:reprezentant|domain_modifier:vanzari|domain_modifier:utilaje|role_phrase:reprezentant vanzari"
"153","Contabil Senior- Otopeni","Contabil Senior- Otopeni","contabil senior otopeni","no","3","contabil","","senior","0.880","0.720","0.160","neutral","role_head:contabil|generic_noise:senior"
"154","Inginer devize ofertare - retele edilitare","Inginer devize ofertare retele edilitare","inginer devize ofertare retele edilitare","yes","5","inginer","ofertare","","1.000","0.000","1.000","help","role_head:inginer|domain_modifier:ofertare"
