dimension,concept_ids,note
product,textile_product;textiles_product;textile_semi_finished_product;textile_textile_semi_finished_product;clothing_product;footwear_product;shoe_product;leather_product;leather_product_product;hide_skin_product;made_up_product,Textile and leather product family
product,tool_product;tools_product;machine_product;machinery_product;machine_tool_product;instrument_product;instruments_product;engine_product;engines_product;pump_product;meter_product;meters_product,Tools and machinery product family
product,pharmaceutical_product;drugs_product,Medicine product family
product,good_product;goods_product;commodity_product;product_product;products_product;materials_product;raw_product;scrap_product;semi_finished_product;supply_product;tangible_product;other_product,General goods family
product,media_product;multimedia_product;video_product;audio_product,Media product family
product,picture_product;movie_product;press_product;paper_product;stationery_product;leaflet_product,Print and image product family
product,perfume_product;cosmetics_product;soap_product,Beauty chemical product family
product,water_product;gas_product;fuel_product;electricity_product;power_product;battery_product,Utility and energy product family
product,tobacco_product;tobacco_product_product,Smoking product family
work_object,computer_work_object;computers_work_object;computer_software_work_object;software_work_object;application_work_object;applications_work_object;database_work_object;network_work_object;system_work_object;systems_work_object;cloud_work_object;data_work_object;embedded_work_object;web_work_object;router_work_object;user_interface_work_object;database_designer_work_object;database_integrator_work_object;cloud_devop_work_object;cloud_identity_work_object,Software and application work-object family
work_object,device_work_object;devices_work_object;equipment_work_object;hardware_work_object;instrument_work_object;instruments_work_object;screen_work_object;screens_work_object;panel_work_object;panels_work_object;wire_work_object,Device and equipment work-object family
work_object,circuit_work_object;circuits_work_object,Circuit work-object family
work_object,vehicle_work_object;vehicles_work_object;motor_vehicle_work_object;motor_vehicle_part_work_object;cargo_vehicle_work_object;aircraft_work_object;ship_work_object;boat_work_object;train_work_object;tram_work_object;trolley_bus_work_object;tow_truck_work_object;truck_work_object,Vehicle work-object family
work_object,food_work_object;fish_work_object;fruit_work_object;beverage_work_object;cocoa_work_object;confectionery_work_object;furniture_work_object;footwear_work_object;jewellery_work_object;leather_work_object;household_work_object,Common traded work-object family
work_object,food_work_object;fish_work_object;fruit_work_object;meat_work_object;prepared_meat_work_object;pasta_work_object;pastry_work_object;sauce_work_object;street_food_work_object,Food work-object family
work_object,engine_work_object;engines_work_object;machine_work_object;machinery_work_object;tool_work_object;tools_work_object;instrument_work_object;instruments_work_object;pump_work_object;meter_work_object;meters_work_object;sewing_machine,Machine work-object family
work_object,audio_work_object;video_work_object;radio_work_object;camera_work_object;picture_work_object;picture_film_work_object,Media work-object family
work_object,air_work_object;airspace_work_object;drone_work_object;helicopter_work_object;flight_work_object,Aviation work-object family
work_object,cargo_work_object;freight_work_object;container_work_object;hand_luggage_work_object;supply_chain_work_object,Logistics work-object family
work_object,book_work_object;file_work_object;paper_work_object;paper_stationery_work_object;press_work_object;print_work_object;prepress_work_object;script_work_object;record_work_object,Document work-object family
work_object,glass_work_object;fibreglass_work_object;fibre_work_object,Glass and fibre work-object family
work_object,textile_work_object;textile_product_work_object;nonwoven_textile_work_object;textile_pattern_work_object;leather_work_object;leather_good_work_object;leather_good_product_work_object;finished_leather_work_object;footwear_work_object;footwear_product_work_object;shoe_work_object;linen_work_object;thread_work_object,Textile leather and footwear work-object family
work_object,bed_work_object;cabinet_work_object;household_work_object;furniture_work_object;wood_work_object;wood_product_work_object;wooden_furniture_work_object;wicker_furniture_work_object;lumber_work_object;wood_pallet_work_object;engineered_wood_board_work_object,Household furnishing work-object family
venue,center;centre,US UK venue spelling family
venue,harbor;harbour;port;terminal;airport,Port and transit venue family
venue,theater;theatre;stage;studio;arena;hall,Performance venue family
venue,school;primary_school;secondary_school;university;academy;campus,Education venue family
venue,clinic;hospital;lab;laboratory,Healthcare and lab venue family
venue,hotel;hostel;resort;restaurant;bar;club,Hospitality venue family
venue,shop;market;supermarket_venue,Commerce venue family
venue,factory;plant;workshop_venue;warehouse;site;mill;mine;yard,Production venue family
venue,house;home;shelter,Residential venue family
venue,farm;garden;vineyard;zoo;park;hatchery,Land and animal venue family
population,adolescent;adolescents;youth,Adolescent population family
population,adult;adults,Adult population family
population,animal;animals;pet;pets;livestock;equine,Animal population family
population,child;children;infant;infants;early_years_population,Early-age population family
population,customer;customers;guest;guests,Customer and guest population family
population,tourist;tourists,Traveller population family
population,human;humans;people;person;persons,Human population family
population,passenger;passengers,Passenger population family
population,patient;patients,Care-recipient population family
population,pupil;pupils;student;students,Education population family
channel,call;phone;telephone;call_centre;help_desk;telemarketing,Direct contact channel family
channel,retail;wholesale;distribution,Commerce channel family
channel,after_sales;presales_channel,Sales stage channel family
channel,online;e_learning;broadcast,Remote delivery channel family
