role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,note
dispatcher,dispecer; expeditor; diszpécser; dispetšer; disponent,,,ro;hu,,,
distributor,distribuitor; forgalmazó,,,ro;hu,,,
diver,scafandru; búvár; sukelduja,,,ro;hu,,,
drafter,rajzoló; joonestaja,,,ro;hu,,,
dresser,îmbrăcător; öltöztető; riietaja,,,ro;hu,,,
driver,sofer; conducator auto; conducător auto; stivuitorist; sofőr; autojuht,,,ro;hu,,,
editor,szerkesztő; toimetaja,,,ro;hu,,,
electrician,villanyszerelő; elektrik,,,ro;hu,,,
engineer,inginer; mérnök; insener,,,ro;hu,,,
engraver,gravor; gravírozó; graveerija,,,ro;hu,,,
ergonomist,ergonómus; ergonoom,,,ro;hu,,,
escort,eskort,,,ro;hu,,,
executive,executiv,,,ro;hu,,,
expert,szakértő; ekspert,,,ro;hu,,,
filler,umplutor; töltő; täitja,,,ro;hu,,,
finisher,finisator; viimistleja; betonist,,,ro;hu,,,
firefighter,pompier; tűzoltó; päästja,,,ro;hu,,,
fitter,,,,ro;hu,,,
geologist,geolog; geológus; geoloog,,,ro;hu,,,
governor,guvernator; kormányzó; kuberner,,,ro;hu,,,
grader,osztályozó; liigitaja,,,ro;hu,,,
guard,őr; valvur; gardian,,,ro;hu,,,
guide,ghid; idegenvezető; giid,,,ro;hu,,,
handler,manipulant; käsitseja,,,ro;hu,,,
head,,,,ro;hu,,,
host,házigazda,,,ro;hu,,,
hostess,háziasszony,,,ro;hu,,,
inspector,ellenőr; inspektor,,,ro;hu,,,
installer,instalator,,,ro;hu,,,
instructor,oktató; instruktor,,,ro;hu,,,
interpreter,interpret; tolmács; tõlk,,,ro;hu,,,
investigator,nyomozó; uurija,,,ro;hu,,,
journalist,jurnalist; újságíró; ajakirjanik,,,ro;hu,,,
labourer,laborer,,,ro;hu,,,
leader,,,,ro;hu,,,
lecturer,lector; előadó; lektor,,,ro;hu,,,
machinist,mașinist; gépész,,,ro;hu,,,
maker,fabricator; készítő; valmistaja,,,ro;hu,,,
manager,menedzser; mänedžer,,,ro;hu,,,
master,maistru; mester; meister,,,ro;hu,,,
mechanic,mecanic; mehaanik,,,ro;hu,,,
merchant,kaupmees,,,ro;hu,,,
metallurgist,metalurgist; kohász; metallurg,,,ro;hu,,,
minder,supraveghetor; vigyázó,,,ro;hu,,,
mixer,keverő; segaja,,,ro;hu,,,
modeller,modeler; modelator; modellező; modelleerija,,,ro;hu,,,
monk,călugăr; szerzetes; munk,,,ro;hu,,,
moulder,formator; formázó; vormija,,,ro;hu,,,
nun,călugăriță; apáca; nunn,,,ro;hu,,,
nutritionist,toitumisnõustaja,,,ro;hu,,,
officer,ofițer; tiszt; ohvitser,,,ro;hu,,,
operative,,,,ro;hu,,,
operator,operaator,,,ro;hu,,,
painter,vopsitor; pictor; festő; maalija,,,ro;hu,,,
patternmaker,șablonist; mintakészítő; mustrimeister,,,ro;hu,,,
pharmacist,gyógyszerész; farmacist; proviisor,,,ro;hu,,,
philosopher,filozof; filozófus; filosoof,,,ro;hu,,,
physiotherapist,fizioterapeut; gyógytornász; füsioterapeut,,,ro;hu,,,
pilot,pilóta; piloot; co-pilot,,,ro;hu,,,
planner,planificator; planeerija,,,ro;hu,,,
polisher,lustruitor; poleerija,,,ro;hu,,,
practitioner,practician; praktiseerija; praktik,,,ro;hu,,,
printer,tipograf; nyomdász; trükkija,,,ro;hu,,,
producer,producător; tootja,,,ro;hu,,,
programmer,programator; programozó; programmeerija,,,ro;hu,,,
psychologist,pszichológus; psühholoog,,,ro;hu,,,
radiographer,radiograf; radiograaf; röntgenfelvételkészítő,,,ro;hu,,,
registrar,registrator; anyakönyvvezető,,,ro;hu,,,
repairer,vulcanizator; remondimees,,,ro;hu,,,
representative,reprezentant; esindaja; képviselő,,,ro;hu,,,
researcher,cercetator; kutató,,,ro;hu,,,
restorer,restaurator; restauraator,,,ro;hu,,,
rigger,kötélzetkezelő,,,ro;hu,,,
roaster,prăjitor; pörkölő; röstija,,,ro;hu,,,
scientist,tudós,,,ro;hu,,,
secretary,secretar; titkár; sekretär,,,ro;hu,,,
seller,vanzator; vanzatoare; eladó; salesperson,,,ro;hu,,,
smith,fierar; kovács,,,ro;hu,,,
sommelier,somelier; sommeljee,,,ro;hu,,,
specialist,spetsialist; szakember,,,ro;hu,,,
steward,stjuuard,,,ro;hu,,,
stewardess,stewardesă; stjuardess,,,ro;hu,,,
stand-in,,,,ro;hu,,,
supervisor,responsabil,,,ro;hu,,,
surveyor,topograf; földmérő; maamõõtja,,,ro;hu,,,
teacher,profesor,,,ro;hu,,,
technician,tehnician; technikus; tehnik; frigotehnist,,,ro;hu,,,
technologist,tehnolog; technológus; tehnoloog,,,ro;hu,,,
tender,gondozó,,,ro;hu,,,
tester,tesztelő; testija,,,ro;hu,,,
therapist,terapeut; terapeuta,,,ro;hu,,,
trader,kaupleja,,,ro;hu,,,
trainer,,,,ro;hu,,,
translator,traducator; fordító; tõlkija,,,ro;hu,,,
underwriter,,,,ro;hu,,,
upholsterer,tapițer; kárpitos,,,ro;hu,,,
vendor,árus,,,ro;hu,,,
veterinarian,állatorvos; loomaarst,,,ro;hu,,,
waiter,ospatar; pincér; kelner,,,ro;hu,,,
welder,sudor; hegesztő; keevitaja,,,ro;hu,,,
worker,lucrator; muncitor; magaziner,,,ro;hu,,,
writer,scriitor; író; kirjanik; author,,,ro;hu,,,
aesthetician,beautician; estetician; kozmetikus,,,ro;hu,,,
agronomist,agronom; agronómus; agronoom,,,ro;hu,,,
ambassador,ambasador; nagykövet; suursaadik,,,ro;hu,,,
annealer,recoacător,,,ro;hu,,,
anthropologist,antropolog; antropológus; antropoloog,,,ro;hu,,,
arboriculturist,arboricultor; puukasvataja,,,ro;hu,,,
archaeologist,arheolog; régész; arheoloog,,,ro;hu,,,
archivist,arhivist; levéltáros; arhivaar,,,ro;hu,,,
aromatherapist,aromaterapeut; aromaterapeuta; aroomiterapeut,,,ro;hu,,,
arranger,aranjor; arranžeerija,,,ro;hu,,,
assayer,fémvizsgáló,,,ro;hu,,,
assessor,evaluator; hindaja,,,ro;hu,,,
astrologer,astrolog; asztrológus; astroloog,,,ro;hu,,,
astronomer,astronom; csillagász; astronoom,,,ro;hu,,,
auctioneer,licitator; árverésvezető; oksjonipidaja,,,ro;hu,,,
audiologist,audiolog; audiológus; audioloog,,,ro;hu,,,
babysitter,bébiszitter; bonă,,,ro;hu,,,
baker,brutar; pék; pagar,,,ro;hu,,,
banker,bancher; bankár; pankur,,,ro;hu,,,
barber,bărbier; borbély; habemees,,,ro;hu,,,
bartender,barman; csapos; baarmen,,,ro;hu,,,
basketmaker,kosárfonó; korvipunuja,,,ro;hu,,,
behaviourist,behaviorist; viselkedéskutató; käitumisteadlane,,,ro;hu,,,
biochemist,biochimist; biokémikus; biokeemik,,,ro;hu,,,
bioengineer,bioinginer; biomérnök; bioinsener,,,ro;hu,,,
biometrician,biometrist; biometrikus; biomeetrik,,,ro;hu,,,
biophysicist,biofizician; biofizikus; biofüüsik,,,ro;hu,,,
blogger,blogija,,,ro;hu,,,
boatman,luntraș; hajós; paadimees,,,ro;hu,,,
boatmaster,laevakapten,,,ro;hu,,,
boilermaker,cazanar; kazánkovács; katelsepp,,,ro;hu,,,
bookkeeper,könyvelő,,,ro;hu,,,
bookmaker,kihlveokorraldaja,,,ro;hu,,,
botanist,botanikus; botaanik,,,ro;hu,,,
brazier,arămari; rézműves; vasksepp,,,ro;hu,,,
brewmaster,pruulmeister,,,ro;hu,,,
bricklayer,zidar; kőműves; müürsepp,,,ro;hu,,,
brigadier,brigádvezető; brigadir,,,ro;hu,,,
butcher,măcelar; hentes; lihunik,,,ro;hu,,,
butler,majordom; komornyik; ülemteener,,,ro;hu,,,
caretaker,gondnok,,,ro;hu,,,
cartographer,cartograf; térképész; kartograaf,,,ro;hu,,,
cartoonist,caricaturist; karikaturista; karikaturist,,,ro;hu,,,
catcher,prinzător; püüdja,,,ro;hu,,,
ceramicist,ceramist; keramikus; keraamik,,,ro;hu,,,
chef,főszakács; peakokk,,,ro;hu,,,
chocolatier,ciocolatier; csokoládékészítő; šokolaadimeister,,,ro;hu,,,
choreographer,coregraf; koreográfus; koreograaf,,,ro;hu,,,
choreologist,coreolog; mozgáselemző; koreoloog,,,ro;hu,,,
chromatographer,cromatograf; kromatograaf,,,ro;hu,,,
clarifier,limpezitor; derítő,,,ro;hu,,,
cleaner,takarító; puhastaja; curățător,,,ro;hu,,,
climatologist,climatolog; klimatológus; klimatoloog,,,ro;hu,,,
coachbuilder,carosier; karosszérialakatos,,,ro;hu,,,
coder,kódoló; kodeerija; codificator,,,ro;hu,,,
columnist,rovatvezető; kolumnist,,,ro;hu,,,
communicator,comunicator; kommunikátor; kommunikaator,,,ro;hu,,,
composer,compozitor; zeneszerző; helilooja,,,ro;hu,,,
confectioner,cofetar; cukrász,,,ro;hu,,,
conservator,konservaator,,,ro;hu,,,
contractor,antreprenor; vállalkozó; töövõtja,,,ro;hu,,,
cooper,butnar; kádár; tünnimeister,,,ro;hu,,,
copywriter,szövegíró,,,ro;hu,,,
coroner,halottkém; kohtuarst,,,ro;hu,,,
cosmologist,cosmolog; kozmológus; kosmoloog,,,ro;hu,,,
criminologist,criminolog; kriminológus; kriminoloog,,,ro;hu,,,
curator,kurátor; kuraator,,,ro;hu,,,
cutter,lõikur,,,ro;hu,,,
cytotechnologist,citotehnolog; citotechnológus; tsütotehnoloog,,,ro;hu,,,
dancer,dansator; táncos; tantsija,,,ro;hu,,,
dealer,diiler,,,ro;hu,,,
decksman,,,,ro;hu,,,
demographer,demograf; demográfus; demograaf,,,ro;hu,,,
demonstrator,demonstraator,,,ro;hu,,,
dentist,stomatolog; fogorvos; hambaarst,,,ro;hu,,,
designer,disainer,,,ro;hu,,,
dietitian,dietetician; dietetikus; dietoloog,,,ro;hu,,,
doctor,medic; orvos; arst,,,ro;hu,,,
dressmaker,ruhakészítő,,,ro;hu,,,
driller,forer; puurija,,,ro;hu,,,
ecologist,ökológus; ökoloog,,,ro;hu,,,
economist,közgazdász; majandusteadlane,,,ro;hu,,,
educator,pedagógus; kasvataja,,,ro;hu,,,
embalmer,îmbălsămător; balzsamozó; palsameerija,,,ro;hu,,,
embroiderer,brodeuză; hímző,,,ro;hu,,,
enameller,emailator; zománcozó; emailija,,,ro;hu,,,
epidemiologist,epidemiolog; epidemioloog,,,ro;hu,,,
farrier,potcovar; patkolókovács,,,ro;hu,,,
forester,pădurar; erdész; metsamees,,,ro;hu,,,
gauger,calibrator; mõõtja,,,ro;hu,,,
gemmologist,gemolog; drágakőszakértő,,,ro;hu,,,
genealogist,genealógus; genealoog,,,ro;hu,,,
geneticist,genetician; genetikus; geneetik,,,ro;hu,,,
geochemist,geochimist; geokémikus; geokeemik,,,ro;hu,,,
geographer,geograf; geográfus; geograaf,,,ro;hu,,,
geophysicist,geofizician; geofizikus; geofüüsik,,,ro;hu,,,
geotechnician,geotechnikus; geotehnik,,,ro;hu,,,
graphologist,grafolog; grafológus; grafoloog,,,ro;hu,,,
greaser,gresor; zsírozó; määrija,,,ro;hu,,,
groomer,kutyakozmetikus,,,ro;hu,,,
guardian,gyám; eestkostja,,,ro;hu,,,
hacker,häkker,,,ro;hu,,,
hairdresser,coafor; fodrász; juuksur,,,ro;hu,,,
hawker,rändkaupmees,,,ro;hu,,,
headteacher,koolijuht,,,ro;hu,,,
helmsman,cârmaci; kormányos; tüürimees,,,ro;hu,,,
historian,istoric; történész; ajaloolane,,,ro;hu,,,
housekeeper,menajeră; házvezetőnő; majapidaja,,,ro;hu,,,
hunter,vânător; vadász; kütt,,,ro;hu,,,
hydrogeologist,hidrogeolog; hidrogeológus; hüdrogeoloog,,,ro;hu,,,
hydrologist,hidrolog; hidrológus; hüdroloog,,,ro;hu,,,
hydrotherapist,hidroterapeut; hidroterapeuta; hüdroterapeut,,,ro;hu,,,
hygienist,igienist; higiénikus; hügieenik,,,ro;hu,,,
illustrator,ilustrator; illusztrátor; illustraator,,,ro;hu,,,
imagesetter,image setter,,,ro;hu,,,
immunologist,imunolog; immunológus; immunoloog,,,ro;hu,,,
interceptor,,,,ro;hu,,,
interviewer,intervievator; interjúkészítő; intervjueerija,,,ro;hu,,,
ironer,călcător; vasaló; triikija,,,ro;hu,,,
ironworker,vasmunkás; rauasepp,,,ro;hu,,,
jeweller,ékszerész; juveliir,,,ro;hu,,,
kinesiologist,kineziolog; kineziológus; kinesioloog,,,ro;hu,,,
knitter,tricotator,,,ro;hu,,,
landscaper,gardener; peisagist; maastikukujundaja,,,ro;hu,,,
lawyer,avocat; ügyvéd; jurist,,,ro;hu,,,
lexicographer,lexicograf; lexikográfus; leksikograaf,,,ro;hu,,,
librarian,bibliotecar; könyvtáros; raamatukoguhoidja,,,ro;hu,,,
linguist,lingvist; nyelvész,,,ro;hu,,,
lithographer,litograf; litográfus; litograaf,,,ro;hu,,,
localiser,localizator; lokalizáló; lokaliseerija,,,ro;hu,,,
lyricist,textier; dalszövegíró,,,ro;hu,,,
maintainer,întreținător; karbantartó; hooldustöötaja,,,ro;hu,,,
manicurist,manichiurist; manikűrös; maniküürija,,,ro;hu,,,
marker,marcator; jelölő; märgistaja,,,ro;hu,,,
marketer,marketinges; turundaja,,,ro;hu,,,
mathematician,matematician; matematikus; matemaatik,,,ro;hu,,,
mayor,primar; polgármester; linnapea,,,ro;hu,,,
mediator,közvetítő; lepitaja,,,ro;hu,,,
mentor,,,,ro;hu,,,
merchandiser,árukihelyező; kaubapaigutaja,,,ro;hu,,,
meteorologist,meteorolog; meteorológus; meteoroloog,,,ro;hu,,,
metrologist,metrolog; metrológus; metroloog,,,ro;hu,,,
microbiologist,microbiolog; mikrobiológus; mikrobioloog,,,ro;hu,,,
miller,morar; malmos; veskimees,,,ro;hu,,,
milliner,pălărier; kalapos; kübarsepp,,,ro;hu,,,
mineralogist,mineralog; mineralógus,,,ro;hu,,,
mouldmaker,öntőformakészítő; vormimeister,,,ro;hu,,,
mover,költöztető; kolija,,,ro;hu,,,
musician,muzician; zenész; muusik,,,ro;hu,,,
nanoengineer,nanoinginer; nanomérnök,,,ro;hu,,,
nurse,ápoló; õde,asistent medical,,hu,,,
observer,observator; megfigyelő; vaatleja,,,ro;hu,,,
oceanographer,oceanograf; óceánográfus; okeanograaf,,,ro;hu,,,
oenologist,oenolog; borász; veiniteadlane,,,ro;hu,,,
ombudsman,õiguskantsler,,,ro;hu,,,
optician,optikus; optik,,,ro;hu,,,
optometrist,optometrista,,,ro;hu,,,
orthoptist,ortoptist; ortoptikus,,,ro;hu,,,
palaeontologist,paleontolog; paleontológus; paleontoloog,,,ro;hu,,,
pawnbroker,zălogar,,,ro;hu,,,
pedicurist,pedichiurist; pedikűrös; pediküürija,,,ro;hu,,,
pharmacologist,farmacolog; farmakológus; farmakoloog,,,ro;hu,,,
phlebotomist,flebotomist,,,ro;hu,,,
photographer,fotograf; fotós; fotograaf,,,ro;hu,,,
photojournalist,fotoreporter; fotóriporter; fotoajakirjanik,,,ro;hu,,,
physicist,fizician; fizikus; füüsik,,,ro;hu,,,
physiologist,fiziolog; fiziológus; füsioloog,,,ro;hu,,,
plasterer,krohvik,,,ro;hu,,,
plumber,vízszerelő; torulukksepp,,,ro;hu,,,
podiatrist,podológus; podoloog,,,ro;hu,,,
porter,hamal; hordár; kandja,,,ro;hu,,,
potter,olar; fazekas; pottsepp,,,ro;hu,,,
presenter,prezentator; műsorvezető; saatejuht,,,ro;hu,,,
printmaker,,,,ro;hu,,,
processor,procesor; feldolgozó; töötleja,,,ro;hu,,,
projectionist,proiecționist; kinoprojektsionist,,,ro;hu,,,
promoter,promotor,,,ro;hu,,,
prompter,sufleur; súgó; suflöör,,,ro;hu,,,
proofreader,corector; korrektor,,,ro;hu,,,
prosecutor,procuror; ügyész; prokurör,,,ro;hu,,,
prototyper,prototipist; prototípusgyártó,,,ro;hu,,,
psychotherapist,psihoterapeut; pszichoterapeuta; psühhoterapeut,,,ro;hu,,,
puppeteer,păpușar; bábművész,,,ro;hu,,,
purchaser,achizitor; beszerző; hankija,,,ro;hu,,,
pyrotechnician,pirotehnicist; pirotechnik; pürotehnik,,,ro;hu,,,
receptionist,receptioner,,,ro;hu,,,
reporter,riporter,,,ro;hu,,,
riveter,nituitor; szegecselő; neetija,,,ro;hu,,,
roofer,acoperișar; tetőfedő; katusepanija,,,ro;hu,,,
rustproofer,deruginator; rozsdamentesítő,,,ro;hu,,,
sailor,madrus; matrose,,,ro;hu,,,
scaffolder,schelar; állványozó,,,ro;hu,,,
scheduler,ütemező,,,ro;hu,,,
scopist,,,,ro;hu,,,
sculptor,szobrász; skulptor,,,ro;hu,,,
seaman,meremees,,,ro;hu,,,
seismologist,seismolog; szeizmológus; seismoloog,,,ro;hu,,,
senator,legislator,,,ro;hu,,,
shipbroker,hajóügynök; laevamaakler,,,ro;hu,,,
shoemaker,cizmar; cipész; kingsepp,,,ro;hu,,,
shopper,vásárló,,,ro;hu,,,
shotfirer,robbantó; lõhkaja,,,ro;hu,,,
shunter,manevrist; tolató; manööverdaja,,,ro;hu,,,
singer,cântăreț; énekes; laulja,,,ro;hu,,,
sitter,gyermekfelügyelő,,,ro;hu,,,
skipper,comandant; laevajuht,,,ro;hu,,,
slaughterer,,,,ro;hu,,,
sociologist,sociolog; szociológus; sotsioloog,,,ro;hu,,,
solderer,forrasztó; jootja,,,ro;hu,,,
sophrologist,szofrológus; sophroloog,,,ro;hu,,,
speechwriter,beszédíró; kõnekirjutaja,,,ro;hu,,,
statistician,statisztikus; statistik,,,ro;hu,,,
stylist,stilist,,,ro;hu,,,
subtitler,subtitrator; feliratozó; subtiitritegija,,,ro;hu,,,
tailor,rätsep,,,ro;hu,,,
tanner,tăbăcar; cserző,,,ro;hu,,,
taxidermist,preparator; kitömő; taksidermist,,,ro;hu,,,
teller,kassapidaja,,,ro;hu,,,
toxicologist,toxicolog; toxikológus; toksikoloog,,,ro;hu,,,
toymaker,játékkészítő,,,ro;hu,,,
transcriptionist,transcriptor; leíró; transkribeerija,,,ro;hu,,,
transporter,transportator; szállító; transportija,,,ro;hu,,,
treasurer,trezorier; pénztárnok; varahoidja,,,ro;hu,,,
turner,strungar; esztergályos; treial,,,ro;hu,,,
tutor,magántanár; juhendaja,,,ro;hu,,,
typesetter,culegător; szedő; laduja,,,ro;hu,,,
typist,dactilograf; gépíró; masinakirjutaja,,,ro;hu,,,
usher,ușier; teremőr; saaliteenindaja,,,ro;hu,,,
valuer,valuator,,,ro;hu,,,
verger,templomszolga; kirikuteenija,,,ro;hu,,,
vlogger,vlogija,,,ro;hu,,,
waitress,ospătară; pincérnő; ettekandja,,,ro;hu,,,
watchmaker,ceasornicar; kellassepp,,,ro;hu,,,
weaver,țesător; szövő,,,ro;hu,,,
webmaster,webmester; veebihaldur,,,ro;hu,,,
woodcarver,faszobrász; puidunikerdaja,,,ro;hu,,,
woodturner,faesztergályos; puidutreial,,,ro;hu,,,
zookeeper,állatgondozó; loomaaednik,,,ro;hu,,,
picker,selector; válogató; korjaja,,,ro;hu,,,
adjuster,constatator de daune; kárszakértő; kahjukäsitleja,,,ro;hu,,,
aide,segéd,,,ro;hu,,,
anchor,prezentator de știri; híradós; uudisteankur,,,ro;hu,,,
appraiser,értékbecslő,,,ro;hu,,,
astronaut,űrhajós,,,ro;hu,,,
bailiff,executor judecătoresc; végrehajtó; kohtutäitur,,,ro;hu,,,
barista,,,,ro;hu,,,
biotechnologist,biotehnolog; biotechnológus; biotehnoloog,,,ro;hu,,,
blacksmith,sepp,,,ro;hu,,,
boatswain,șef de echipaj; fedélzetmester; bosun; bo'sun,,,ro;hu,,,
bodyguard,gardă de corp; testőr; ihukaitsja,,,ro;hu,,,
caller,operator de apeluri; hívó; helistaja; telecaller,,,ro;hu,,,
canvasser,agent electoral; kampányoló; kampaaniatöötaja,,,ro;hu,,,
captain,căpitan; kapitány; kapten,,,ro;hu,,,
carpenter,,,,ro;hu,,,
chauffeur,șofer; erajuht,,,ro;hu,,,
colourist,colorist,,,ro;hu,,,
commissioner,comisar; biztos; komissar,,,ro;hu,,,
concierge,portás; uksehoidja,,,ro;hu,,,
councillor,councilor,,,ro;hu,,,
courier,curier; futár; kuller,,,ro;hu,,,
critic,kritikus; kriitik,,,ro;hu,,,
detective,detectiv; detektív; detektiiv,,,ro;hu,,,
diplomat,diplomata; diplomaat,,,ro;hu,,,
examiner,examinator; vizsgáztató; eksamineerija,,,ro;hu,,,
farmer,fermier; gazdálkodó; põllumees,,,ro;hu,,,
forecaster,prognozator; előrejelző; prognoosija,,,ro;hu,,,
glazier,geamgiu; üvegező; klaasija,,,ro;hu,,,
homeopath,homeopat; homeopata; homöopaat,,,ro;hu,,,
integrator,,,,ro;hu,,,
jointer,,,,ro;hu,,,
judge,,,,ro;hu,,,
laminator,lamináló; lamineerija,,,ro;hu,,,
layer,,,,ro;hu,,,
manufacturer,gyártó,,,ro;hu,,,
marshaller,mareșal; maršall; marssal,,,ro;hu,,,
midwife,moașă; szülésznő; ämmaemand,,,ro;hu,,,
miner,bányász; kaevur,,,ro;hu,,,
model,,,,ro;hu,,,
notary,közjegyző,,,ro;hu,,,
official,,,,ro;hu,,,
organiser,organizer,,,ro;hu,,,
osteopath,osteopat; oszteopata; osteopaat,,,ro;hu,,,
paramedic,mentőtiszt; parameedik,,,ro;hu,,,
performer,előadóművész; esineja,,,ro;hu,,,
presser,,,,ro;hu,,,
publisher,kiadó; kirjastaja,,,ro;hu,,,
repetiteur,répétiteur,,,ro;hu,,,
responder,intervenient; beavatkozó; reageerija,,,ro;hu,,,
setter,pregatitor,,,ro;hu,,,
sorter,sortator; sorteerija,,,ro;hu,,,
spinner,filator; fonó; ketraja,,,ro;hu,,,
superintendent,ülem,,,ro;hu,,,
surgeon,chirurg; sebész; kirurg,,,ro;hu,,,
trustee,hooldaja,,,ro;hu,,,
vulcaniser,vulcanizer,,,ro;hu,,,
athlete,sportiv; sportoló; sportlane,,,ro;hu,,,
blender,,,,ro;hu,,,
caster,,,,ro;hu,,,
chaplain,capelan; tábori lelkész; kaplan,,,ro;hu,,,
checker,,,,ro;hu,,,
comedian,komikus; koomik,,,ro;hu,,,
commander,parancsnok; komandör,,,ro;hu,,,
compiler,compilator; összeállító,,,ro;hu,,,
consul,konzul; konsul,,,ro;hu,,,
corporal,caporal; tizedes; kapral,,,ro;hu,,,
correspondent,corespondent; tudósító; korrespondent,,,ro;hu,,,
deckhand,deckman,,,ro;hu,,,
describer,,,,ro;hu,,,
entrepreneur,ettevõ,,,ro;hu,,,
general,tábornok; kindral,,,ro;hu,,,
grinder,rectificator,,,ro;hu,,,
investor,investitor; befektető,,,ro;hu,,,
lieutenant,locotenent; hadnagy; leitnant,,,ro;hu,,,
major,maior; őrnagy,,,ro;hu,,,
minister,ministru; miniszter,,,ro;hu,,,
nanny,dădacă; lapsehoidja,,,ro;hu,,,
principal,iskolaigazgató; koolidirektor,,,ro;hu,,,
ranger,pargivaht,,,ro;hu,,,
reader,,,,ro;hu,,,
screener,,,,ro;hu,,,
sweeper,,,,ro;hu,,,
valet,inas; toapoiss,,,ro;hu,,,
beveller,teșitor; ferdítő; faasija; beveler,,,ro;hu,,,
bleacher,,,,ro;hu,,,
blower,,,,ro;hu,,,
boss,șef; főnök; ülemus,,,ro;hu,,,
brander,,,,ro;hu,,,
burner,,,,ro;hu,,,
canner,konzerváló; konserveerija,,,ro;hu,,,
capitalist,kapitalista; kapitalist,,,ro;hu,,,
carrier,,,,ro;hu,,,
caulker,calafatuitor; tömítő; tihendaja,,,ro;hu,,,
choirmaster,choirmistress,,,ro;hu,,,
chipper,,,,ro;hu,,,
closer,,,,ro;hu,,,
colonel,ezredes; kolonel,,,ro;hu,,,
companion,,,,ro;hu,,,
coppersmith,aramar; vasesepp; tinichigiu,,,ro;hu,,,
dean,decan; dékán; dekaan,,,ro;hu,,,
derrickhand,operator de sondă; fúrótorony-kezelő; puurtorni töötaja,,,ro;hu,,,
digger,,,,ro;hu,,,
doorman,doorwoman,,,ro;hu,,,
distiller,distilator; párlatkészítő; destilleerija,,,ro;hu,,,
dramaturge,,,,ro;hu,,,
dyer,värvija,,,ro;hu,,,
enumerator,recenzor; összeíró; loendaja,,,ro;hu,,,
estimator,becslő,,,ro;hu,,,
extra,figurant; statiszta; taustanäitleja,,,ro;hu,,,
extractor,,,,ro;hu,,,
fermenter,fermentator; fermentáló; kääritaja,,,ro;hu,,,
firer,,,,ro;hu,,,
goldsmith,aurar; aranyműves; kullassepp,,,ro;hu,,,
groom,îngrijitor de cai; lovász; tallimees,,,ro;hu,,,
groundsman,groundswoman,,,ro;hu,,,
gunsmith,armurier; fegyverműves; relvasepp,,,ro;hu,,,
hand,muncitor manual; kézi munkás; käsitööline,,,ro;hu,,,
handyperson,om bun la toate; ezermester; meistrimees,,,ro;hu,,,
justice,,,,ro;hu,,,
jockey,jocheu; zsoké; žoki,,,ro;hu,,,
keeper,,,,ro;hu,,,
locksmith,lăcătuș; lakatosember; lukksepp,,,ro;hu,,,
logger,exploatator forestier; erdőmunkás; metsatööline,,,ro;hu,,,
masseur,masseuse,,,ro;hu,,,
member,,,,ro;hu,,,
missionary,misionar; misszionárius; misjonär,,,ro;hu,,,
motorhand,operator de echipamente de foraj; fúrómunkás; puurimistööline,,,ro;hu,,,
mounter,,,,ro;hu,,,
negotiator,negociator; tárgyaló; läbirääkija,,,ro;hu,,,
neutraliser,neutralizator; semlegesítő; neutraliseerija; neutralizer,,,ro;hu,,,
orthotist,ortezist; ortetikus; ortoosimeister,,,ro;hu,,,
prosthetist,,,,ro;hu,,,
packer,ambalator; csomagoló; pakkija,,,ro;hu,,,
