concept_id,canonical,dimension,role_modes
coffee_product,coffee,product,commercial
coffee_tea_cocoa_knowledge_domain,coffee tea cocoa,knowledge_domain,knowledge
coffee_tea_cocoa_product,coffee tea cocoa,product,commercial
coking_task,coking,task,
collection_task,collection,task,
colour_work_object,colour,work_object,technical
commercial,commercial,industry,
commissioning_task,commissioning,task,
commodity_product,commodity,product,commercial
communication_task,communication,task,
common_carrier_task,common carrier,task,
communications,communications,knowledge_domain,
community_knowledge_domain,community,knowledge_domain,creative
community_population,community,population,
community_work_object,community,work_object,technical
compensation_task,compensation,task,
competition_task,competition,task,
complementary_industry,complementary,industry,
compliance,compliance,knowledge_domain,
component_work_object,component,work_object,technical
compression_task,compression,task,
computer_knowledge_domain,computer,knowledge_domain,education|knowledge
computer_product,computer,product,commercial
computer_work_object,computer,work_object,technical
computer_computer_product,computer computer,product,commercial
computer_software_work_object,computer software,work_object,
computers_product,computers,product,commercial
computers_work_object,computers,work_object,technical
conceptual_industry,conceptual,industry,
concrete_work_object,concrete,work_object,technical
concrete_product_work_object,concrete product,work_object,technical
condition_task,condition,task,
conditioning_task,conditioning,task,
confectionery_product,confectionery,product,commercial
confectionery_work_object,confectionery,work_object,
configuration,configuration,task,
conservation_task,conservation,task,
construction,construction,industry,
consumer_knowledge_domain,consumer,knowledge_domain,knowledge
consumer_work_object,consumer,work_object,technical
consumer_good_work_object,consumer good,work_object,technical
consumer_right_work_object,consumer right,work_object,
contact_knowledge_domain,contact,knowledge_domain,knowledge
container_product,container,product,commercial
container_work_object,container,work_object,technical
contract_work_object,contract,work_object,technical
control,control,task,
converting_task,converting,task,
conveyance_work_object,conveyance,work_object,
coordination,coordination,task,
copy_knowledge_domain,copy,knowledge_domain,creative|knowledge
coquille_task,coquille,task,
corporate,corporate,industry,
correctional,correctional,industry,
correspondence,correspondence,task,
corrosion_task,corrosion,task,
corrugator_work_object,corrugator,work_object,technical
cosmetic_industry,cosmetic,industry,
cosmetics_knowledge_domain,cosmetic,knowledge_domain,knowledge
cosmetics_product,cosmetic,product,commercial
cosmetics_work_object,cosmetic,work_object,technical
cosmetics_product,cosmetics,product,commercial
cost_knowledge_domain,cost,knowledge_domain,knowledge
costume_product,costume,product,commercial
cotton_gin_work_object,cotton gin,work_object,technical
counselling,counselling,task,
counter_work_object,counter,work_object,
countryside_work_object,countryside,work_object,
court,court,venue,
covid_work_object,covid,work_object,technical
craft_work_object,craft,work_object,
crane_work_object,crane,work_object,technical
crane_crew_work_object,crane crew,work_object,
creative_industry,creative,industry,
credit_knowledge_domain,credit,knowledge_domain,knowledge
credit_union_work_object,credit union,work_object,
crime_knowledge_domain,crime,knowledge_domain,creative|knowledge
criminal_industry,criminal,industry,
crisis_industry,crisi,industry,
crisis_helpline_work_object,crisi helpline,work_object,technical
crop_industry,crop,industry,
crosscut_saw_work_object,crosscut saw,work_object,technical
crossing_task,crossing,task,
crowd_work_object,crowd,work_object,
crushing_task,crushing,task,
crustaceans_product,crustaceans,product,commercial
cultural,cultural,industry,
curing_task,curing,task,
curriculum_work_object,curriculum,work_object,technical
custom_work_object,custom,work_object,
customer,customer,population,
customers,customers,population,
cutting,cutting,task,
cybersecurity_task,cybersecurity,task,
cylinder_work_object,cylinder,work_object,
cylindrical_industry,cylindrical,industry,
dairy,dairy,industry,
dance_knowledge_domain,dance,knowledge_domain,education|knowledge
dangerou_good_task,dangerou good,task,
data_knowledge_domain,data,knowledge_domain,knowledge
data_work_object,data,work_object,technical
database_product,database,product,commercial
database_work_object,database,work_object,technical
dating_task,dating,task,
day_task,day,task,
de_icer,de-icer,task,
debarker_work_object,debarker,work_object,technical
debt_work_object,debt,work_object,
deburring_task,deburring,task,
deck_work_object,deck,work_object,
decontamination_task,decontamination,task,
decorative_industry,decorative,industry,
deep_sea_industry,deep sea,industry,
defence_task,defence,task,
deinking_task,deinking,task,
delicatessen_product,delicatessen,product,commercial
delivery,delivery,task,
demolition_task,demolition,task,
dental_industry,dental,industry,
dentistry_knowledge_domain,dentistry,knowledge_domain,education|knowledge
department,department,venue,
dependability_work_object,dependability,work_object,technical
deputy_knowledge_domain,deputy,knowledge_domain,education|knowledge
desalination_task,desalination,task,
design,design,task,
desk_channel,desk,channel,
destination_task,destination,task,
development,development,task,
device_product,device,product,commercial
device_work_object,device,work_object,technical
devices_product,devices,product,commercial
devices_work_object,devices,work_object,technical
dewatering_task,dewatering,task,
diagnostic_industry,diagnostic,industry,
die_work_object,die,work_object,
diesel_work_object,diesel,work_object,technical
diet_work_object,diet,work_object,
dietetic_industry,dietetic,industry,
digester_work_object,digester,work_object,technical
digestion,digestion,task,
digital,digital,industry,
dip_work_object,dip,work_object,technical
dipping_task,dipping,task,
disability_task,disability,task,
disaster_knowledge_domain,disaster,knowledge_domain,knowledge
disc_work_object,disc,work_object,technical
disk_product,disk,product,commercial
dismantling_task,dismantling,task,
disposal_industry,disposal,industry,
distillation_task,distillation,task,
distillery_work_object,distillery,work_object,
distribution,distribution,channel,
dividend_knowledge_domain,dividend,knowledge_domain,knowledge
division_task,division,task,
medical_practice,medical practice,venue,
document_task,document,task,
documentation,documentation,task,
dog_knowledge_domain,dog,knowledge_domain,education|knowledge
doll_work_object,doll,work_object,
domestic_industry,domestic,industry,
door_product,door,product,commercial
door_work_object,door,work_object,technical
drain_work_object,drain,work_object,technical
drainage_work_object,drainage,work_object,technical
drama,drama,knowledge_domain,
drapery_work_object,drapery,work_object,
drawing_task,drawing,task,
dredge_work_object,dredge,work_object,technical
dredging_task,dredging,task,
drill_product,drill,product,commercial
drill_work_object,drill,work_object,technical
drilling_task,drilling,task,
driving,driving,task,
drone_work_object,drone,work_object,
drop_task,drop,task,
drug_task,drug,task,
drugs_product,drugs,product,commercial
drugstore_work_object,drugstore,work_object,
dry_work_object,dry,work_object,technical
dryer_work_object,dryer,work_object,
drying_task,drying,task,
duty_work_object,duty,work_object,technical
dyeing_task,dyeing,task,
e_learning,e-learning,channel,
early_year_knowledge_domain,early year,knowledge_domain,education|knowledge
early_years_population,early years,population,
earth_knowledge_domain,earth,knowledge_domain,education|knowledge
ebusiness_work_object,ebusiness,work_object,
economic,economic,industry,
economics,economics,knowledge_domain,
edge_bander_work_object,edge bander,work_object,technical
edible_oil_knowledge_domain,edible oil,knowledge_domain,knowledge
edible_oil_product,edible oil,product,commercial
editorial_industry,editorial,industry,
education_task,education,task,
educational,educational,industry,
educational_population,educational,population,
effect_knowledge_domain,effect,knowledge_domain,creative
elderly,elderly,population,
election_task,election,task,
electric_industry,electric,industry,
electrical,electrical,industry,
electricity_knowledge_domain,electricity,knowledge_domain,education|knowledge
electricity_product,electricity,product,commercial
electricity_work_object,electricity,work_object,technical
electrolytic_industry,electrolytic,industry,
electromagnetic_industry,electromagnetic,industry,
electromechanical_industry,electromechanical,industry,
electron_beam_work_object,electron beam,work_object,
electronic,electronic,industry,
electronics,electronics,knowledge_domain,
electroplating_task,electroplating,task,
embassy_work_object,embassy,work_object,
embedded_knowledge_domain,embedded,knowledge_domain,knowledge
embedded_work_object,embedded,work_object,technical
embossing_task,embossing,task,
embroidery_work_object,embroidery,work_object,technical
embryo_work_object,embryo,work_object,technical
emergency_industry,emergency,industry,
emergency_ambulance_work_object,emergency ambulance,work_object,
emergency_respons_industry,emergency respon,industry,
employee_task,employee,task,
employer_task,employer,task,
employment_task,employment,task,
energy,energy,industry,
enforcement_task,enforcement,task,
engine_product,engine,product,commercial
engine_work_object,engine,work_object,technical
engine_work_object,engine,work_object,
engineered_wood_board_work_object,engineered wood board,work_object,technical
engineering,engineering,knowledge_domain,
engines_product,engines,product,commercial
engines_work_object,engines,work_object,technical
engraving_task,engraving,task,
enterprise_work_object,enterprise,work_object,technical
entertainment_task,entertainment,task,
entry,entry,task,
envelope_work_object,envelope,work_object,
environment_task,environment,task,
environmental,environmental,industry,
equality_task,equality,task,
equine,equine,population,
equipment_product,equipment,product,commercial
equipment_task,equipment,task,
equipment_work_object,equipment,work_object,technical
erosion_task,erosion,task,
establishment_task,establishment,task,
estate_industry,estate,industry,
ethical,ethical,industry,
eu,eu,industry,
evaluation_task,evaluation,task,
event,event,industry,
excavator_work_object,excavator,work_object,technical
exchange_knowledge_domain,exchange,knowledge_domain,knowledge
exchange_product,exchange,product,commercial
excise_work_object,excise,work_object,
exhibition_task,exhibition,task,
experience_work_object,experience,work_object,
exploration_task,exploration,task,
export,export,task,
extract_work_object,extract,work_object,technical
extraction_task,extraction,task,
extrusion_task,extrusion,task,
eyewear_product,eyewear,product,commercial
facility,facility,venue,
factory,factory,venue,
faculty_work_object,faculty,work_object,
family_industry,family,industry,
fare_work_object,fare,work_object,
farm,farm,venue,
fashion,fashion,industry,
fat_task,fat,task,
fat_purification_task,fat-purification,task,
feed_knowledge_domain,feed,knowledge_domain,knowledge
feed_product,feed,product,commercial
feed_work_object,feed,work_object,technical
fermentation_task,fermentation,task,
fertiliser_work_object,fertiliser,work_object,
fibre_work_object,fibre,work_object,technical
fibre_machine_work_object,fibre machine,work_object,
fibreglass_work_object,fibreglass,work_object,technical
field_survey_work_object,field survey,work_object,
fight_knowledge_domain,fight,knowledge_domain,creative
filament_task,filament,task,
file_work_object,file,work_object,
filigree_work_object,filigree,work_object,
filing_task,filing,task,
filling_task,filling,task,
filtration_task,filtration,task,
finance_industry,finance,industry,
financial,financial,industry,
fine_knowledge_domain,fine,knowledge_domain,education|knowledge
finished_leather_work_object,finished leather,work_object,
finishing,finishing,task,
fire_work_object,fire,work_object,technical
fireplace_work_object,fireplace,work_object,technical
firework_work_object,firework,work_object,technical
first_aid_knowledge_domain,first aid,knowledge_domain,education
fiscal_industry,fiscal,industry,
fish_product,fish,product,commercial
fish_work_object,fish,work_object,technical
fish_crustacean_knowledge_domain,fish crustacean,knowledge_domain,knowledge
fish_crustacean_product,fish crustacean,product,commercial
fisheries,fisheries,industry,
fishing_task,fishing,task,
fitness_knowledge_domain,fitness,knowledge_domain,education
flexographic_industry,flexographic,industry,
flight_knowledge_domain,flight,knowledge_domain,education
flight_work_object,flight,work_object,technical
floor_product,floor,product,commercial
flotation_task,flotation,task,
flour_purifier_work_object,flour purifier,work_object,technical
flow,flow,task,
flower_knowledge_domain,flower,knowledge_domain,knowledge
flower_product,flower,product,commercial
flowers_product,flowers,product,commercial
fluid_power_work_object,fluid power,work_object,technical
flying_task,flying,task,
foam_rubber_work_object,foam rubber,work_object,
folding_task,folding,task,
followspot_work_object,followspot,work_object,technical
food_knowledge_domain,food,knowledge_domain,education|knowledge
food_product,food,product,commercial
food_work_object,food,work_object,technical
foot_industry,foot,industry,
football_knowledge_domain,football,knowledge_domain,education
footwear_knowledge_domain,footwear,knowledge_domain,knowledge
footwear_product,footwear,product,commercial
footwear_work_object,footwear,work_object,technical
footwear_3d_work_object,footwear 3d,work_object,technical
footwear_product_work_object,footwear product,work_object,technical
force_industry,force,industry,
forecast_work_object,forecast,work_object,
foreclosure_knowledge_domain,foreclosure,knowledge_domain,knowledge
foreign,foreign,knowledge_domain,
foreign_language,foreign language,knowledge_domain,
forensics_industry,forensic,industry,
forest_work_object,forest,work_object,
forestry,forestry,industry,
forge_work_object,forge,work_object,technical
forging_task,forging,task,
forklift_work_object,forklift,work_object,technical
forming_task,forming,task,
forwarding_task,forwarding,task,
fossil_fuel_power_work_object,fossil fuel power,work_object,technical
foster_task,foster,task,
foundry_work_object,foundry,work_object,
fragrance_work_object,fragrance,work_object,
frame_work_object,frame,work_object,
fraud_industry,fraud,industry,
freight_work_object,freight,work_object,technical
freinet_knowledge_domain,freinet,knowledge_domain,education|knowledge
frequency_knowledge_domain,frequency,knowledge_domain,knowledge
front_work_object,front,work_object,
front_desk,front desk,venue,
front_line_industry,front line,industry,
froth_work_object,froth,work_object,technical
fruit_knowledge_domain,fruit,knowledge_domain,knowledge
fruit_product,fruit,product,commercial
fruit_work_object,fruit,work_object,technical
fuel_product,fuel,product,commercial
fuel_work_object,fuel,work_object,technical
fund_industry,fund,industry,
fund_product,fund,product,commercial
funding_task,funding,task,
fundraising_task,fundraising,task,
funds_product,funds,product,commercial
funeral_industry,funeral,industry,
fur_work_object,fur,work_object,
furnace_product,furnace,product,commercial
furnace_work_object,furnace,work_object,technical
furniture_knowledge_domain,furniture,knowledge_domain,knowledge
furniture_product,furniture,product,commercial
furniture_work_object,furniture,work_object,technical
furniture_carpet_knowledge_domain,furniture carpet,knowledge_domain,knowledge
furniture_carpet_product,furniture carpet,product,commercial
further_knowledge_domain,further,knowledge_domain,education|knowledge
future_product,future,product,commercial
gallery_knowledge_domain,gallery,knowledge_domain,knowledge
gambling_task,gambling,task,
game_work_object,game,work_object,technical
games_product,games,product,commercial
gaming_task,gaming,task,
garage_work_object,garage,work_object,
garden,garden,venue,
gas_product,gas,product,commercial
gas_work_object,gas,work_object,technical
gas_turbine_work_object,gas turbine,work_object,technical
gate_work_object,gate,work_object,
gear_work_object,gear,work_object,
generation_task,generation,task,
geographic_industry,geographic,industry,
geography,geography,knowledge_domain,
geological_industry,geological,industry,
geology,geology,knowledge_domain,
geotechnical_industry,geotechnical,industry,
geothermal_industry,geothermal,industry,
germination_task,germination,task,
gerontology_knowledge_domain,gerontology,knowledge_domain,
gifted_knowledge_domain,gifted,knowledge_domain,education|knowledge
glass_knowledge_domain,glass,knowledge_domain,creative
glass_work_object,glass,work_object,technical
glassware_product,glassware,product,commercial
glove_work_object,glove,work_object,
golf_knowledge_domain,golf,knowledge_domain,education
good_knowledge_domain,good,knowledge_domain,knowledge
good_product,good,product,commercial
goods_product,goods,product,commercial
government,government,industry,
grading,grading,task,
grant_work_object,grant,work_object,technical
granulator_work_object,granulator,work_object,technical
graphic_industry,graphic,industry,
gravure_work_object,gravure,work_object,technical
green,green,industry,
grill_work_object,grill,work_object,
grinding_task,grinding,task,
ground_work_object,ground,work_object,technical
groundwater_work_object,groundwater,work_object,technical
guest,guest,population,
guests,guests,population,
guitar_work_object,guitar,work_object,
hair_work_object,hair,work_object,technical
hairdressing_task,hairdressing,task,
hairpiece_work_object,hairpiece,work_object,
halal_industry,halal,industry,
hall,hall,venue,
hammer_work_object,hammer,work_object,technical
handling,handling,task,
harbor,harbor,venue,
harbour,harbour,venue,
hardware_knowledge_domain,hardware,knowledge_domain,knowledge
hardware_product,hardware,product,commercial
hardware_work_object,hardware,work_object,technical
harp_work_object,harp,work_object,
harpsichord_work_object,harpsichord,work_object,
harvest_work_object,harvest,work_object,
harvesting_task,harvesting,task,
hatchery,hatchery,venue,
hazardou_work_object,hazardou,work_object,technical
hazardou_waste_work_object,hazardou waste,work_object,technical
health,health,industry,
healthcare,healthcare,industry,
hearse_work_object,hearse,work_object,
heat_work_object,heat,work_object,technical
heating_task,heating,task,
heel_work_object,heel,work_object,technical
helicopter_work_object,helicopter,work_object,
help_channel,help,channel,
help,help,task,
help_desk,help desk,channel,
herbal_industry,herbal,industry,
hide_work_object,hide,work_object,
hide_skin_knowledge_domain,hide skin,knowledge_domain,knowledge
hide_skin_product,hide skin,product,commercial
high_work_object,high,work_object,
higher_knowledge_domain,higher,knowledge_domain,education|knowledge
history,history,knowledge_domain,
home,home,venue,
homelessness_work_object,homelessness,work_object,
homologation_task,homologation,task,
horse_knowledge_domain,horse,knowledge_domain,education|knowledge
horticulture_task,horticulture,task,
hospital,hospital,venue,
hospitality,hospitality,industry,
hostel,hostel,venue,
hot_foil_work_object,hot foil,work_object,technical
hotel,hotel,venue,
house,house,venue,
household_product,household,product,commercial
household_work_object,household,work_object,technical
household_appliance_knowledge_domain,household appliance,knowledge_domain,knowledge
household_appliance_product,household appliance,product,commercial
household_good_knowledge_domain,household good,knowledge_domain,knowledge
household_good_product,household good,product,commercial
housekeeping_task,housekeeping,task,
housing_task,housing,task,
human_knowledge_domain,human,knowledge_domain,
human,human,population,
human_resources,human resources,knowledge_domain,
humanitarian_work_object,humanitarian,work_object,
humans,humans,population,
husbandry,husbandry,task,
hydraulic_industry,hydraulic,industry,
hydroelectric_industry,hydroelectric,industry,
hydrogenation_task,hydrogenation,task,
hydrographic_industry,hydrographic,industry,
hydropower_work_object,hydropower,work_object,technical
ice_knowledge_domain,ice,knowledge_domain,education
ice_skating_task,ice-skating,task,
ict_knowledge_domain,ict,knowledge_domain,
idiophone_knowledge_domain,idiophone,knowledge_domain,knowledge
immigration_task,immigration,task,
import,import,task,
incinerator_work_object,incinerator,work_object,technical
inclusion_task,inclusion,task,
industrial,industrial,industry,
industry_product,industry,product,commercial
infant,infant,population,
infants,infants,population,
informatics_industry,informatic,industry,
information,information,knowledge_domain,
infrastructure_work_object,infrastructure,work_object,technical
injection_task,injection,task,
inland_water_industry,inland water,industry,
innovation_task,innovation,task,
insemination_task,insemination,task,
inspection,inspection,task,
installation,installation,task,
institution_task,institution,task,
instructional_industry,instructional,industry,
instrument_product,instrument,product,commercial
instrument_task,instrument,task,
instrument_work_object,instrument,work_object,technical
instrumentation_task,instrumentation,task,
instruments_product,instruments,product,commercial
instruments_work_object,instruments,work_object,technical
insulating_task,insulating,task,
insulation_task,insulation,task,
insurance,insurance,industry,
integrated_work_object,integrated,work_object,technical
integration,integration,task,
intellectual_industry,intellectual,industry,
intelligence_knowledge_domain,intelligence,knowledge_domain,knowledge
intelligence_work_object,intelligence,work_object,technical
intelligent_work_object,intelligent,work_object,technical
intercultural_industry,intercultural,industry,
interest_group_industry,interest group,industry,
