role_head,alias,note
cytotechnologist,citotehnolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cytotechnologist,citotechnológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cytotechnologist,tsütotehnoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dancer,dansator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dancer,táncos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dancer,tantsija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dealer,diiler,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
demographer,demograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
demographer,demográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
demographer,demograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
designer,disainer,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dentist,stomatolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dentist,fogorvos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dentist,hambaarst,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dietitian,dietetician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dietitian,dietetikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dietitian,dietoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
distributor,distribuitor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
distributor,forgalmazó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
diver,scafandru,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
diver,búvár,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
diver,sukelduja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dressmaker,ruhakészítő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
driver,sofőr,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
driver,autojuht,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ecologist,ökológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ecologist,ökoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
editor,szerkesztő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
editor,toimetaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
electrician,villanyszerelő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
electrician,elektrik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engraver,gravor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engraver,gravírozó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engraver,graveerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
epidemiologist,epidemiolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
epidemiologist,epidemioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
firefighter,pompier,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
firefighter,tűzoltó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
genealogist,genealógus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
genealogist,genealoog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geneticist,genetician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geneticist,genetikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geneticist,geneetik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geochemist,geochimist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geochemist,geokémikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geochemist,geokeemik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geographer,geograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geographer,geográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geographer,geograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geologist,geolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geologist,geológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geologist,geoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geophysicist,geofizician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geophysicist,geofizikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geophysicist,geofüüsik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geotechnician,geotechnikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
geotechnician,geotehnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
guard,őr,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
guard,valvur,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
guide,ghid,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
guide,idegenvezető,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
guide,giid,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hacker,häkker,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hairdresser,coafor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hairdresser,fodrász,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hairdresser,juuksur,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
historian,istoric,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
historian,történész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
historian,ajaloolane,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrogeologist,hidrogeolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrogeologist,hidrogeológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrogeologist,hüdrogeoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrologist,hidrolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrologist,hidrológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrologist,hüdroloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrotherapist,hidroterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrotherapist,hidroterapeuta,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hydrotherapist,hüdroterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hygienist,igienist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hygienist,higiénikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
hygienist,hügieenik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
illustrator,ilustrator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
illustrator,illusztrátor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
illustrator,illustraator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
immunologist,imunolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
immunologist,immunológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
immunologist,immunoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
